epoch,accuracy,loss,val_accuracy,val_loss
9,0.7094664573669434,0.8552525639533997,0.7980703115463257,0.6035356521606445
10,0.7850831747055054,0.6097771525382996,0.8470020890235901,0.4423753619194031
11,0.8313252925872803,0.48401105403900146,0.8821502327919006,0.3587490916252136
12,0.8555364608764648,0.42162132263183594,0.8311509490013123,0.4922361671924591
13,0.8815834522247314,0.35769230127334595,0.8366643786430359,0.48333829641342163
14,0.8943201303482056,0.31371912360191345,0.9379737973213196,0.20258817076683044
15,0.9086632132530212,0.2795276939868927,0.9135079383850098,0.2768043875694275
16,0.9193344712257385,0.2504226565361023,0.917298436164856,0.28103557229042053
17,0.9228915572166443,0.2266668677330017,0.9248793721199036,0.21937322616577148
18,0.9347102642059326,0.2017645686864853,0.945554792881012,0.1706722527742386
19,0.9399885535240173,0.1814611852169037,0.9531357884407043,0.14820817112922668
20,0.9473322033882141,0.16584698855876923,0.9589937925338745,0.13304029405117035
21,0.9475616812705994,0.1617097109556198,0.952791154384613,0.15118467807769775
22,0.9516924619674683,0.1510043740272522,0.9524465799331665,0.15350410342216492
23,0.9560527801513672,0.14062897861003876,0.9503790736198425,0.17059865593910217
24,0.9588066339492798,0.12824583053588867,0.9638180732727051,0.11191651970148087
25,0.9624784588813782,0.11954575777053833,0.9517574310302734,0.16680161654949188
26,0.964543879032135,0.11480209231376648,0.9531357884407043,0.13904350996017456
27,0.9624784588813782,0.10754308104515076,0.931082010269165,0.24880357086658478
28,0.9698221683502197,0.09657221287488937,0.9696760773658752,0.10412727296352386
29,0.968559980392456,0.0968572273850441,0.9610613584518433,0.11453124135732651
30,0.9713138341903687,0.08906902372837067,0.9000689387321472,0.3598693311214447
31,0.9739529490470886,0.08504746854305267,0.9276360869407654,0.309998095035553
32,0.9730349779129028,0.08036170154809952,0.9545141458511353,0.158448725938797
33,0.9759036302566528,0.07755515724420547,0.9655410051345825,0.10375524312257767
34,0.9728055000305176,0.08271948993206024,0.9713990092277527,0.08683546632528305
35,0.9762478470802307,0.07396292686462402,0.9724327921867371,0.09797517955303192
36,0.9784280061721802,0.06665359437465668,0.9534803628921509,0.17378555238246918
37,0.9795754551887512,0.06311750411987305,0.9507236480712891,0.19612447917461395
38,0.9779689908027649,0.0660666972398758,0.9713990092277527,0.10612789541482925
39,0.9796901941299438,0.05947699770331383,0.9772570729255676,0.08229406923055649
40,0.9807229042053223,0.060429707169532776,0.9686422944068909,0.10443086922168732
41,0.9820998311042786,0.05729040503501892,0.9641626477241516,0.12894631922245026
42,0.9832472801208496,0.051932863891124725,0.9472777247428894,0.18728382885456085
43,0.9843947291374207,0.04553655534982681,0.9693315029144287,0.1260843425989151
44,0.9840505123138428,0.050937019288539886,0.9696760773658752,0.11523491889238358
